,Question,Q_id,Company,Model,Answer,Rank,Score,Doc_index
0,Is the company a travel agent or tour operator?,1,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We also engage third-party intermediaries, including travel agencies and meeting and event management companies, who collect fees by charging our hotels and resorts a commission on room revenues.",1,0.0112,431
1,Is the company a travel agent or tour operator?,1,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Additional sources of competition include large companies that offer online travel services as part of their business model, such as Alibaba, search engines such as Google, and peer-to-peer inventory sources that allow travelers to book stays on websites that facilitate the short-term rental of homes and apartments from owners, thereby providing an alternative to hotel rooms, such as Airbnb and HomeAway.",2,0.0048,714
2,Is the company a travel agent or tour operator?,1,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Increasingly, the rooms at hotels and resorts that we manage, franchise or own are booked through third-party internet travel intermediaries and online travel service providers.",3,0.0039,850
3,Is the company a travel agent or tour operator?,1,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We also engage third-party intermediaries who collect fees by charging our hotels and resorts a commission on room revenues, including travel agencies and meeting and event management companies.",4,0.0033,851
4,Is the company a travel agent or tour operator?,1,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"In addition, some of the rooms at hotels and resorts we manage or franchise are booked through internet travel intermediaries, partners or online travel service providers.",5,0.0032,701
5,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"This litigation, if instituted against us, could result in substantial costs, reduce our profits, divert our management's attention and resources and harm our business.",1,0.0005,653
6,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"These provisions include, among others: • Our amended and restated certificate of incorporation provides for a dual class ownership structure, in which our .",2,0.0004,1338
7,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Hyatt Ziva resorts feature a wide array of food and beverage outlets with an emphasis on authentic cuisine and are able to cater to social or business groups with varied and well-appointed meeting facilities.,3,0.0004,631
8,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Cyber risk insurance generally covers all Company-controlled systems and data in properties that the Company owns, outright or through hospitality ventures, manages, franchises and licenses.",4,0.0004,906
9,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"If the insurance that we carry, our owners, hospitality ventures or franchisees carry does not sufficiently cover damages or other losses or liabilities, our profits could be adversely affected.",5,0.0004,1071
10,Does the company organize CRUISES?,3,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Cyber risk insurance generally covers all Company-controlled systems and data in properties that the Company owns, outright or through hospitality ventures, manages, franchises and licenses.",1,0.0004,1229
11,Does the company organize CRUISES?,3,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"In addition, he oversaw Hyatt Residential Group, Inc. (formerly known as Hyatt Vacation Ownership, Inc.) and the Franchise Owner Relations Group, which supports both full service and select service and extended stay franchisees.",2,0.0004,1130
12,Does the company organize CRUISES?,3,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,These benefits are partially offset by the impact of certain foreign net operating losses generated in the current year that are not expected to be utilized in the future.,3,0.0004,1277
13,Does the company organize CRUISES?,3,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Education is not only foundational to thriving communities but it also ensures a strong pipeline for our future workforce, which in turn supports our long-term business goals and global growth.",4,0.0003,915
14,Does the company organize CRUISES?,3,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"As a result, we could lose some or all of the capital we have invested in a property, as well as the anticipated future revenues, profits, management fees or incentive income from the property, we could remain obligated for performance guarantees in favor of third-party property owners or for their debt or other financial obligations, suffer an uninsured or underinsured property loss or we may not have sufficient insurance to cover awards of damages resulting from our liabilities.",5,0.0003,452
